replacement_id,taz_id,old_node_id,new_node_id,endpoint_shift_ft,angle_change_deg,old_length_ft,new_length_ft,length_delta_ft,length_ratio,old_outside_taz_length_ft,new_outside_taz_length_ft,outside_taz_delta_ft,old_target_outside_taz_ft,new_target_outside_taz_ft,old_major_level,new_major_level,old_degree,new_degree,degree_delta,old_street_names,new_street_names,shares_street_name
R01,24,545642,1696744,405.472,0.765,8289.385,7898.602,-390.783,0.9529,67.114,0.0,-67.114,28.544,0.0,3.0,3.0,2,4,2,CAMP CREEK PKWY SW,CAMP CREEK PKWY SW|WESTLAKE PKWY SW|nan,True
R02,45,562549,562548,856.775,6.53,5446.082,6002.785,556.703,1.1022,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2,4,2,CAMP CREEK PKWY SW,nan|CAMP CREEK PKWY SW,True
R03,51,63587,161618,3802.397,48.996,4430.947,1096.929,-3334.018,0.2476,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2,2,0,MAIN ST,CAMP CREEK PKWY,False
R04,245,482606,137095,2212.657,25.723,3289.098,4653.705,1364.607,1.4149,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,4,2,MCGINNIS FERRY RD,MCGINNIS FERRY RD|OLD ATLANTA RD,True
R05,263,599334,564299,1995.01,49.498,2610.092,1898.066,-712.026,0.7272,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,HAYNES BRIDGE RD,HAYNES BRIDGE RD|NORTH POINT PKWY,True
R06,263,785101,130021,756.28,5.992,4753.295,5298.022,544.727,1.1146,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,MANSELL RD,NORTH POINT PKWY|MANSELL RD,True
R07,287,566339,1728082,308.66,2.053,3846.598,3567.918,-278.68,0.9276,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2,2,0,MARIETTA HWY,WILLEO RD,False
R08,288,566338,89551,402.956,11.405,2030.83,1957.631,-73.199,0.964,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2,3,1,MARIETTA HWY,WILLEO RD|MARIETTA HWY,True
R09,295,80083,80088,371.65,7.547,2822.945,2823.716,0.771,1.0003,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,MT VERNON HWY NE,MT VERNON HWY NE|CRESTLINE PKWY,True
R10,406,986647,36193,647.918,8.434,3985.635,4222.084,236.449,1.0593,5.282,0.0,-5.282,5.198,0.0,4.0,4.0,2,3,1,SENOIA RD,nan|SENOIA RD,True
R11,407,926983,36192,633.279,8.402,4181.509,4303.133,121.624,1.0291,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,SENOIA RD,nan|GA-74|SENOIA RD,True
R12,434,424661,424676,1747.855,10.438,8633.533,9270.677,637.144,1.0738,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,2,0,SOUTH FULTON PKWY,SOUTH FULTON PKWY,True
R13,439,1151002,88187,96.884,1.037,4393.687,4448.304,54.617,1.0124,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,JOHNSON FERRY RD,LASSITER RD|JOHNSON FERRY RD,True
R14,495,1376763,61031,183.801,3.507,1678.404,1827.71,149.306,1.089,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2,3,1,AUSTELL RD SW,nan|AUSTELL RD SW,True
