pair_key,a,b,status,straight_length_ft,already_directly_linked_in_gstdm,a_major_level,b_major_level,a_degree,b_degree,a_street_names,b_street_names,touches_any_changed_cc_node,touches_any_added_cc_node
22963|128384,22963,128384,unchanged,54.966,False,3.0,3.0,2,2,SUGARLOAF PKWY NW,SUGARLOAF PKWY NW,False,False
38151|38152,38151,38152,unchanged,54.269,False,4.0,4.0,2,2,POINTE SOUTH PKWY,POINTE SOUTH PKWY,False,False
38227|38228,38227,38228,unchanged,56.286,False,4.0,4.0,2,2,POINTE SOUTH PKWY,POINTE SOUTH PKWY,False,False
38277|750237,38277,750237,unchanged,51.066,False,4.0,4.0,2,2,POINTE SOUTH PKWY,POINTE SOUTH PKWY,False,False
53094|53095,53094,53095,added,70.393,False,3.0,3.0,2,2,FULTON INDUSTRIAL BLVD SW,FULTON INDUSTRIAL BLVD SW,False,False
64814|64815,64814,64815,added,50.902,False,4.0,4.0,2,2,N INNER LOOP RD,N OUTER LOOP RD|PERRY J HUDSON PKWY,False,False
71523|71525,71523,71525,unchanged,246.736,False,4.0,4.0,2,2,PEACHTREE ST NE,JUNIPER ST NE,False,False
83241|83243,83241,83243,unchanged,67.145,False,3.0,3.0,2,2,N COBB PKWY NE,N COBB PKWY NE,False,False
87364|556309,87364,556309,added,46.62,False,3.0,3.0,2,2,SANDY PLAINS RD NE,SANDY PLAINS RD NE,False,False
87608|87609,87608,87609,added,42.413,False,4.0,4.0,2,2,JOHNSON FERRY RD,JOHNSON FERRY RD,False,False
88900|556318,88900,556318,added,42.638,False,3.0,3.0,2,2,SANDY PLAINS RD NE,SANDY PLAINS RD NE,False,False
89393|89394,89393,89394,added,44.558,False,3.0,3.0,2,2,ROSWELL RD,ROSWELL RD,False,False
90787|90788,90787,90788,unchanged,59.631,False,3.0,3.0,2,2,HOLCOMB BRIDGE RD,HOLCOMB BRIDGE RD,False,False
109746|550375,109746,550375,unchanged,49.799,False,4.0,4.0,2,2,N HAIRSTON RD,N HAIRSTON RD,False,False
124507|124508,124507,124508,unchanged,44.57,False,3.0,3.0,2,2,BEAVER RUIN RD NW,BEAVER RUIN RD NW,False,False
137168|137169,137168,137169,unchanged,54.9,False,3.0,3.0,2,2,SATELLITE BLVD NW,SATELLITE BLVD NW,False,False
145908|429080,145908,429080,unchanged,51.916,False,4.0,4.0,2,2,HAMILTON MILL RD NE,HAMILTON MILL RD NE,False,False
161617|161618,161617,161618,added,43.777,False,3.0,3.0,2,2,CAMP CREEK PKWY,CAMP CREEK PKWY,True,True
174944|174945,174944,174945,unchanged,64.418,False,3.0,3.0,2,2,US-27,US-27,False,False
236755|236756,236755,236756,added,63.11,False,4.0,4.0,2,2,JOEL COWAN PKWY,JOEL COWAN PKWY,False,False
260584|883857,260584,883857,added,34.283,False,4.0,4.0,2,2,CEDARCREST RD,CEDARCREST RD,False,False
427194|1719458,427194,1719458,unchanged,49.16,False,3.0,3.0,2,2,GA-54,GA-54,False,False
439214|439215,439214,439215,added,91.97,False,4.0,4.0,2,2,GA-74,GA-74,False,False
556871|557124,556871,557124,unchanged,63.287,False,3.0,3.0,2,2,GA-85,GA-85,False,False
672551|672552,672551,672552,unchanged,46.741,False,3.0,3.0,2,2,SUGARLOAF PKWY NW,SUGARLOAF PKWY NW,False,False
681368|681369,681368,681369,added,67.903,False,3.0,3.0,2,2,CAMP CREEK PKWY SW,CAMP CREEK PKWY SW,False,False
764795|764796,764795,764796,unchanged,70.126,False,3.0,3.0,2,2,GA-85,GA-85,False,False
1537106|1537107,1537106,1537107,unchanged,34.355,False,4.0,4.0,2,2,CAMPGROUND ROAD EXT,CAMPGROUND ROAD EXT,False,False
