baseline,status,taz_id,node_id,density,density_rank,rank_bucket,major_level,outside_len_ft,line_node_dist_ft
earliest,removed,4,1174088,0.019240781463969136,1,1,3.0,4093.2530851582455,4039.0139486769785
earliest,removed,4,55584,0.00929867176690954,2,2,4.0,1379.9619719026332,1377.7889474726483
earliest,removed,4,873180,0.005830790504959213,5,5-6,4.0,360.06682228415065,43.41318676329235
earliest,removed,4,1443293,0.004956718127895603,8,7-10,3.0,196.71983832704197,512.6547897268078
earliest,removed,5,1174118,0.011127650185986132,1,1,3.0,0.0,14.35751520296106
earliest,retained,5,55674,0.007636922371258481,3,3-4,3.0,1.0033330726987326,197.03725581157804
earliest,removed,5,1186975,0.006617125885039246,5,5-6,4.0,3148.4690147155015,3324.991438843577
earliest,retained,5,66491,0.005634074668933259,8,7-10,4.0,0.0,126.26174229410259
earliest,removed,7,1443293,0.007688709906943012,1,1,3.0,0.0,248.22843567208355
earliest,removed,7,1186042,0.007235010573496259,3,3-4,4.0,0.0,117.6346612164864
earliest,removed,7,1185185,0.006601675055192458,4,3-4,5.0,13.344365508414265,13.674733609269747
earliest,removed,7,691309,0.005666881564270307,6,5-6,3.0,0.0,80.33717094321837
earliest,removed,8,691434,0.013481752660568929,1,1,4.0,13.34946010828023,250.62579184935427
earliest,removed,8,1186336,0.010034496753046893,3,3-4,5.0,1482.3469998454225,3295.332066496568
earliest,removed,8,55244,0.008915681683937388,4,3-4,4.0,1334.3582233186985,1326.3556773005969
earliest,removed,8,55386,0.007521746339963163,7,7-10,4.0,5.00124387670774,81.47479174567039
earliest,removed,12,55210,0.013525674768934405,1,1,4.0,0.0,29.496224664534612
earliest,removed,12,634079,0.011197210171660485,2,2,4.0,1340.7350363235669,3132.6508007394564
earliest,removed,12,55193,0.009969698913884528,4,3-4,4.0,0.0,96.78318858146669
earliest,retained,12,55098,0.007441172537906485,7,7-10,4.0,5.863928103209477,663.4437144823689
earliest,removed,13,55098,0.010805472243997152,1,1,4.0,0.0,393.96692482840086
earliest,removed,13,872975,0.006658339088064877,2,2,3.0,3143.2781086702,3416.9820034800714
earliest,retained,13,1180477,0.0037995242938686368,5,5-6,4.0,1.8143441470529553,1799.710867507085
earliest,removed,13,1179216,0.003459638281117432,6,5-6,4.0,2.4940523878866645,79.08650110514981
earliest,retained,21,927842,0.0051792140125640025,1,1,4.0,0.0,36.226424564991284
earliest,removed,21,53091,0.0048416171251391355,2,2,4.0,72.17323544087124,33.66882212874478
earliest,removed,21,872938,0.004415550707079602,3,3-4,4.0,5.1874332926822015,116.56974062696769
earliest,removed,21,426100,0.0025565537108726564,7,7-10,4.0,10.776006690056194,21.86733108140362
earliest,removed,22,996647,0.006497841314763575,2,2,4.0,5627.619639063249,5413.109636372765
earliest,removed,22,52578,0.005327314646378842,3,3-4,3.0,0.0,1163.8637583167392
earliest,removed,22,545652,0.004548801159969449,5,5-6,3.0,0.7234077093541406,23.94530357558914
earliest,removed,22,598287,0.0034772793092434184,7,7-10,3.0,53.23975088251746,792.3875735511351
earliest,removed,40,37501,0.006686381031847808,1,1,4.0,1439.8936086261785,1881.6603734687205
earliest,removed,40,600108,0.0062967461994935395,3,3-4,3.0,0.0,1.947967925507177
earliest,removed,40,599810,0.004461692676122986,6,5-6,4.0,2.7409502449926975,12.413686697275793
earliest,removed,40,872507,0.0038003330792207722,7,7-10,4.0,0.0,0.8840968953624132
earliest,removed,41,36769,0.009364902918981012,1,1,4.0,3770.607005298328,3989.4193927885085
earliest,removed,41,990674,0.006629282357570465,2,2,4.0,4423.946215533823,3990.8503875762362
earliest,removed,41,994398,0.004625833772566022,5,5-6,4.0,15.350466503798632,29.47581535635568
earliest,removed,41,37506,0.0025620340615245003,7,7-10,4.0,4.481206214588213,1981.5214662961776
earliest,removed,46,600210,0.01339172725959125,1,1,3.0,0.0,9.090835157292522
earliest,removed,46,991132,0.0098080627831066,4,3-4,4.0,5184.602312116023,5235.829974372385
earliest,removed,46,565741,0.00974036773984763,5,5-6,4.0,3.0955878312364025,13.856858453361202
earliest,removed,46,594871,0.008104739348420277,7,7-10,4.0,0.0,46.755172919867164
earliest,removed,47,37859,0.012902651284076227,1,1,4.0,2.3741347878646257,30.117331029441154
earliest,removed,47,37905,0.009776786346413574,2,2,4.0,206.18534018354097,580.8441094463582
earliest,removed,47,39375,0.008791547564093753,3,3-4,4.0,4511.148902425809,4511.093054537606
earliest,removed,47,1017123,0.008478188142428445,4,3-4,3.0,1481.8233394207875,3069.081314708418
earliest,removed,48,872612,0.009257410532947655,2,2,4.0,0.0,43.04524333961307
earliest,removed,48,600185,0.00873730898283795,3,3-4,4.0,0.3343139469977275,126.16790909983115
earliest,removed,48,39377,0.005616613610938825,5,5-6,4.0,664.4849508041146,914.0002489296855
earliest,removed,48,37807,0.004306657316088033,7,7-10,4.0,7.893203089689633,1150.9673137039588
earliest,removed,49,37828,0.020978492780040468,1,1,4.0,0.0,87.00963748411586
earliest,removed,49,1168198,0.018051076124851854,2,2,4.0,7.25683185335525,22.365196916176014
earliest,removed,49,37823,0.01584434071768461,3,3-4,3.0,0.0,176.7399101126089
earliest,removed,49,991644,0.01212658894745237,6,5-6,4.0,3.3779357007818787,44.45001949389576
earliest,retained,55,1176338,0.016726966829777676,1,1,3.0,3.7874729407395695,443.3159380014986
earliest,removed,55,872688,0.01237162582655955,2,2,4.0,0.0,1.8628036037136975
earliest,removed,55,1045569,0.010949060167633227,3,3-4,4.0,10.305206375434699,32.082391720257924
earliest,removed,55,582458,0.007792581089383525,6,5-6,4.0,3130.427055793865,3035.259458758322
earliest,removed,56,996745,0.022298960300556666,1,1,4.0,3777.8202009467796,4334.208353792785
earliest,removed,56,582457,0.011526398540137376,3,3-4,4.0,0.0,48.15778382894416
earliest,removed,56,994480,0.009929945103483016,5,5-6,3.0,3718.004999264425,3654.9626697807967
earliest,removed,56,689734,0.0054694889622875316,8,7-10,4.0,745.8150752681239,832.2465634353691
earliest,removed,57,64096,0.006931633391117604,2,2,5.0,21.137913874139755,96.30884053367124
earliest,removed,57,64349,0.006646319009770278,3,3-4,5.0,13.703871917698148,123.47190869203304
earliest,removed,57,990501,0.0058842750705340304,4,3-4,4.0,0.0,47.010646604979605
earliest,removed,57,1185463,0.00486630030813195,8,7-10,5.0,13.43424382995409,14.10536282960217
earliest,removed,58,1548232,0.015670338719784557,3,3-4,4.0,1708.5276471359568,2166.09414571754
earliest,removed,58,1166172,0.025332878283115083,1,1,4.0,0.0,63.905651949819934
earliest,removed,58,1169270,0.01467225873865273,5,5-6,4.0,353.8054729554022,383.3094869538887
earliest,removed,58,872657,0.01028443568854815,6,5-6,4.0,0.0,52.7787995219162
earliest,removed,59,1369157,0.013552807026458029,2,2,3.0,46.80638008111054,210.83447916424726
earliest,removed,59,995866,0.013103633540412241,3,3-4,3.0,0.0,41.11605147086084
earliest,retained,59,65290,0.009580050704814267,5,5-6,4.0,0.0,459.2080983939401
earliest,removed,59,1222395,0.009540248976556639,6,5-6,4.0,3807.0028462523087,4048.629942598763
earliest,removed,60,1170540,0.009545624672579536,2,2,4.0,0.0,50.349050092406365
earliest,removed,60,64387,0.007991743036726654,3,3-4,4.0,0.0,64.55924359709026
earliest,removed,60,65274,0.007423273481698348,4,3-4,5.0,2894.969017079384,2875.875472836965
earliest,removed,60,1223227,0.007061185369263201,5,5-6,3.0,1361.8847411621957,1296.0527427949019
earliest,removed,61,872675,0.009880245676779814,1,1,4.0,3457.0302822082294,4057.7982723922305
earliest,removed,61,66959,0.009740699065776777,2,2,4.0,3388.3935143666863,3236.533043808182
earliest,removed,61,994546,0.007954025176837217,3,3-4,4.0,504.29284913622956,521.2134833764351
earliest,removed,61,65664,0.007189339164640247,4,3-4,3.0,16.09689160407126,21.489402106860766
earliest,retained,62,1450425,0.006954545321972908,1,1,4.0,19.308296230929383,380.94432595820643
earliest,removed,62,66933,0.006287518802504792,3,3-4,4.0,4262.039261126933,5536.522582897066
earliest,removed,62,634076,0.005831557347195773,4,3-4,4.0,5.33967851681459,174.403423846481
earliest,removed,62,66263,0.005624340826729657,5,5-6,4.0,5333.057252478864,4629.611223623765
earliest,removed,63,66934,0.011348095044899162,1,1,4.0,3.051020945084516,27.234768886227137
earliest,removed,63,996009,0.009004902430479186,3,3-4,4.0,2.509663265840983,69.73765317371527
earliest,removed,63,66168,0.007630914113904414,5,5-6,4.0,1322.8073016186556,1449.7323272351234
earliest,removed,63,995971,0.006962703558475833,7,7-10,4.0,0.08861491377753136,1848.8481298135707
earliest,removed,65,65938,0.007291836938290932,2,2,4.0,12.449105450069514,20.516222996533607
earliest,removed,65,1652603,0.006838245732120676,4,3-4,4.0,19.561720819407984,24.302005784259645
earliest,removed,65,66753,0.006658160131035622,5,5-6,3.0,2301.6704136270264,2278.032908955574
earliest,retained,65,66453,0.0065730147384088135,6,5-6,4.0,3098.3754230418463,3098.2527091223533
earliest,removed,66,1176596,0.009929497029679121,1,1,4.0,512.4802627892232,519.973763108979
earliest,removed,66,730106,0.008708781916395127,2,2,3.0,5060.761082837922,3786.4039112687656
earliest,removed,66,65979,0.006876859517267528,4,3-4,4.0,573.6831550022154,527.0978980633365
earliest,removed,66,1165121,0.006876273739684399,5,5-6,4.0,2947.5406487197542,3819.60933191986
earliest,retained,67,66815,0.018246883265721887,1,1,3.0,0.0,83.74689059338534
earliest,removed,67,993482,0.010404968301978686,2,2,4.0,6073.088087359148,6100.404649865768
earliest,removed,67,66768,0.008093004134354972,4,3-4,3.0,1.0703614049606716,192.57718381040894
earliest,removed,67,1279299,0.006866570097323851,7,7-10,4.0,0.0,14.591485109180212
earliest,removed,68,65977,0.020634816888073122,1,1,4.0,6281.386085172155,6434.183490152216
earliest,removed,68,1181445,0.012854748814331317,2,2,3.0,0.0,6.082951374912332
earliest,removed,68,66583,0.009382079763515296,4,3-4,3.0,0.0,21.578195538115047
earliest,removed,68,65938,0.00647497211862968,8,7-10,4.0,266.08938111185313,803.8228862805597
earliest,retained,71,73655,0.01334507668941077,1,1,4.0,0.0,114.1743340454769
earliest,removed,71,1448736,0.009545904606654993,2,2,4.0,1718.0181992175703,6544.745956594188
earliest,removed,71,476898,0.008428379928517433,4,3-4,4.0,5969.925565965504,6258.254030838682
earliest,removed,71,1732680,0.005318134143928586,8,7-10,3.0,0.0,32.39722577617027
earliest,removed,72,996608,0.02003212771367607,1,1,3.0,0.0,24.33702057703527
earliest,removed,72,55742,0.01103323160600403,3,3-4,3.0,12.301568728805615,68.55135464271702
earliest,removed,72,761398,0.010715147552427844,4,3-4,4.0,0.0,839.6576603984697
earliest,retained,72,1664998,0.009699799692820305,5,5-6,3.0,6.99208925090225,74.91735571853208
earliest,removed,73,541550,0.013788579428714379,1,1,3.0,3484.2524098627023,5599.6572201372455
