taz_id,node_id,earliest_to_final,stabilized_to_final,in_earliest,in_stabilized,in_final,density,density_rank,major_level,outside_len_ft,line_node_dist_ft
4,55584,removed,not_applicable,True,False,False,0.00929867176690954,2,4.0,1379.9619719026332,1377.7889474726483
4,65994,added,added,False,False,True,0.0,0,4.0,1477.307188531536,0.0
4,811927,added,removed,False,True,False,0.004956718127895603,8,3.0,180.8227157899989,926.8770697663065
4,873180,removed,not_applicable,True,False,False,0.005830790504959213,5,4.0,360.06682228415065,43.41318676329235
4,1174088,removed,not_applicable,True,False,False,0.019240781463969136,1,3.0,4093.2530851582455,4039.0139486769785
4,1184335,added,added,False,False,True,0.0,0,3.0,2662.8839848484577,0.0
4,1443289,added,removed,False,True,False,0.019240781463969136,1,4.0,0.0,7256.647089361433
4,1443293,removed,not_applicable,True,False,False,0.004956718127895603,8,3.0,196.71983832704197,512.6547897268078
5,55674,unchanged,unchanged,True,True,True,0.007636922371258481,3,3.0,1.0033330726987326,197.03725581157804
5,66491,unchanged,unchanged,True,True,True,0.005634074668933259,8,4.0,0.0,126.26174229410259
5,1174118,removed,removed,True,True,False,0.011127650185986132,1,3.0,0.0,14.35751520296106
5,1186975,removed,not_applicable,True,False,False,0.006617125885039246,5,4.0,3148.4690147155015,3324.991438843577
7,55386,added,unchanged,False,True,True,0.007235010573496259,3,4.0,0.0,156.40704544627496
7,582897,added,removed,False,True,False,0.007688709906943012,1,3.0,17.05159339415868,1365.782701983395
7,691309,removed,not_applicable,True,False,False,0.005666881564270307,6,3.0,0.0,80.33717094321837
7,998803,added,added,False,False,True,0.0,0,3.0,0.0,0.0
7,1184321,added,added,False,False,True,0.0,0,4.0,0.0,0.0
7,1185185,removed,not_applicable,True,False,False,0.006601675055192458,4,5.0,13.344365508414265,13.674733609269747
7,1186042,removed,not_applicable,True,False,False,0.007235010573496259,3,4.0,0.0,117.6346612164864
7,1443293,removed,not_applicable,True,False,False,0.007688709906943012,1,3.0,0.0,248.22843567208355
7,1576421,added,removed,False,True,False,0.007423657635383565,2,3.0,0.0,2166.1039681740613
8,55191,added,added,False,False,True,0.0,0,5.0,9.895991724916373,0.0
8,55244,removed,not_applicable,True,False,False,0.008915681683937388,4,4.0,1334.3582233186985,1326.3556773005969
8,55382,added,added,False,False,True,0.0,0,4.0,0.0,0.0
8,55386,removed,not_applicable,True,False,False,0.007521746339963163,7,4.0,5.00124387670774,81.47479174567039
8,633606,added,removed,False,True,False,0.013481752660568929,1,4.0,0.0,301.9221697043737
8,691434,removed,not_applicable,True,False,False,0.013481752660568929,1,4.0,13.34946010828023,250.62579184935427
8,993431,added,removed,False,True,False,0.006500845440820769,8,4.0,13.86503540826485,78.71115584501874
8,1186336,removed,not_applicable,True,False,False,0.010034496753046893,3,5.0,1482.3469998454225,3295.332066496568
12,55098,unchanged,unchanged,True,True,True,0.007441172537906485,7,4.0,5.863928103209477,663.4437144823689
12,55101,added,added,False,False,True,0.0,0,4.0,0.0,0.0
12,55193,removed,not_applicable,True,False,False,0.009969698913884528,4,4.0,0.0,96.78318858146669
12,55210,removed,not_applicable,True,False,False,0.013525674768934405,1,4.0,0.0,29.496224664534612
12,55224,added,unchanged,False,True,True,0.009093729022265894,5,4.0,5.800902570394135,151.94387488992777
12,634079,removed,not_applicable,True,False,False,0.011197210171660485,2,4.0,1340.7350363235669,3132.6508007394564
12,1449057,added,removed,False,True,False,0.011197210171660485,2,4.0,0.0,863.6275359539088
13,55098,removed,not_applicable,True,False,False,0.010805472243997152,1,4.0,0.0,393.96692482840086
13,872975,removed,not_applicable,True,False,False,0.006658339088064877,2,3.0,3143.2781086702,3416.9820034800714
13,1179216,removed,not_applicable,True,False,False,0.003459638281117432,6,4.0,2.4940523878866645,79.08650110514981
13,1180477,unchanged,unchanged,True,True,True,0.0037995242938686368,5,4.0,1.8143441470529553,1799.710867507085
13,1670535,added,unchanged,False,True,True,0.005758630082925288,4,4.0,0.0,366.32237171868195
21,52602,added,added,False,False,True,0.0,0,4.0,0.0,0.0
21,53091,removed,not_applicable,True,False,False,0.0048416171251391355,2,4.0,72.17323544087124,33.66882212874478
21,53807,added,added,False,False,True,0.0,0,4.0,0.0,0.0
21,426100,removed,not_applicable,True,False,False,0.0025565537108726564,7,4.0,10.776006690056194,21.86733108140362
21,872938,removed,removed,True,True,False,0.004415550707079602,3,4.0,5.1874332926822015,116.56974062696769
21,927842,unchanged,unchanged,True,True,True,0.0051792140125640025,1,4.0,0.0,36.226424564991284
21,995875,added,removed,False,True,False,0.0048416171251391355,2,4.0,0.0,86.62402563190375
22,25698,added,added,False,False,True,0.0,0,3.0,0.0,0.0
22,52566,added,added,False,False,True,0.0,0,3.0,1.1893120206289085,0.0
22,52578,removed,removed,True,True,False,0.005327314646378842,3,3.0,0.0,1163.8637583167392
