taz_id,old_node_id,new_node_id,endpoint_shift_ft,old_density,old_density_rank,old_major_level,new_major_level,major_level_change,new_was_20260722_candidate,new_candidate_best_rank
4,1443289,65994,1974.0397817673352,0.019240781463969136,1,4.0,4.0,same,False,
4,811927,1184335,550.3722558413021,0.004956718127895603,8,3.0,3.0,same,False,
7,1576421,998803,1694.0005342386896,0.007423657635383565,2,3.0,3.0,same,False,
7,582897,1184321,171.05920027873393,0.007688709906943012,1,3.0,4.0,less major,False,
8,993431,55191,1095.3264399255743,0.006500845440820769,8,4.0,5.0,less major,False,
8,633606,55382,141.9682006633081,0.013481752660568929,1,4.0,4.0,same,False,
12,1449057,55101,614.499934906753,0.011197210171660485,2,4.0,4.0,same,False,
21,872938,53807,420.3014394460125,0.004415550707079602,3,4.0,4.0,same,True,6.0
21,995875,52602,807.9288211224981,0.0048416171251391355,2,4.0,4.0,same,False,
22,1454020,53724,404.06724687854563,0.007033707519341368,1,3.0,3.0,same,False,
22,545645,52566,2222.7309441315583,0.0034772793092434184,7,3.0,3.0,same,False,
22,52578,25698,221.64557293118173,0.005327314646378842,3,3.0,3.0,same,False,
40,872507,36769,752.5254148531519,0.0038003330792207722,7,4.0,4.0,same,False,
40,990393,37368,166.4933031688691,0.004622011371654859,5,4.0,4.0,same,False,
46,594871,54135,575.0255037829196,0.010061282788783333,2,4.0,4.0,same,False,
46,565741,37898,377.50190727994556,0.00974036773984763,5,4.0,4.0,same,False,
47,37855,1178451,533.6401221804551,0.0063208185169186795,5,4.0,4.0,same,False,
47,600199,600195,218.56189054786577,0.009776786346413574,2,4.0,4.0,same,False,
48,1172797,39275,1736.4599217941454,0.00873730898283795,3,4.0,4.0,same,False,
49,927803,37806,813.1159080966075,0.009695286715244153,8,4.0,4.0,same,False,
55,64274,1045554,4094.036448298904,0.010949060167633227,3,4.0,4.0,same,False,
55,64341,582448,316.9633732782288,0.01237162582655955,2,4.0,4.0,same,False,
56,582457,996545,660.8150195025866,0.011526398540137376,3,4.0,4.0,same,False,
56,760616,65228,832.9991176473375,0.022298960300556666,1,3.0,3.0,same,False,
57,989381,64321,579.8787804358826,0.008268212404225239,1,4.0,4.0,same,False,
57,64349,1163074,2113.364355713401,0.006646319009770278,3,5.0,5.0,same,False,
58,1166172,66939,315.27261219482904,0.025332878283115083,1,4.0,4.0,same,False,
59,1223227,65407,729.9206052715796,0.014336126003466135,1,3.0,3.0,same,False,
60,64387,991017,2431.5773728181566,0.007991743036726654,3,4.0,4.0,same,False,
61,65408,65410,162.1866209032052,0.007125916786586648,5,3.0,3.0,same,False,
63,996009,66979,1582.4152741926425,0.009004902430479186,3,4.0,4.0,same,True,8.0
63,66934,66931,593.7824517437128,0.011348095044899162,1,4.0,4.0,same,False,
65,787209,1164342,143.10143255710236,0.010256070667562242,1,4.0,4.0,same,False,
65,66464,66453,1626.4175355663058,0.0064231057057042105,7,4.0,4.0,same,False,
66,66405,66416,1496.0598985338488,0.009929497029679121,1,4.0,4.0,same,True,2.0
67,66768,66815,2121.322064185572,0.008093004134354972,4,3.0,3.0,same,True,1.0
67,730106,1530775,2002.6003620293538,0.010404968301978686,2,3.0,4.0,less major,False,
68,760837,66483,160.1660700644194,0.009021361660348136,5,4.0,4.0,same,False,
68,1045181,66768,1112.462264528543,0.00837065494853941,6,3.0,3.0,same,False,
71,1732680,73499,1347.109442471945,0.005318134143928586,8,3.0,3.0,same,False,
72,66665,986192,1640.1706069794545,0.018132040369932788,2,3.0,3.0,same,False,
74,1386744,73663,241.99407017466038,0.01563478421310995,3,4.0,4.0,same,False,
77,68491,993134,2132.107398795849,0.010643019751568637,4,3.0,3.0,same,False,
79,1228434,71618,248.29565038403533,0.01711848496357853,2,3.0,3.0,same,True,8.0
84,1220491,77143,1548.7719134857464,0.01344002435927261,3,4.0,4.0,same,False,
85,77121,77136,867.703572656007,0.026283145918675702,1,4.0,4.0,same,False,
86,583428,77202,324.32292549211064,0.026565621992957745,1,4.0,4.0,same,False,
86,992083,586270,340.3922590189263,0.013793419853560198,4,4.0,4.0,same,False,
87,600651,77195,1217.0963478703613,0.015886555809939914,6,4.0,4.0,same,True,5.0
87,77147,77176,1310.4104776745344,0.021412407724477438,2,4.0,4.0,same,False,
89,872618,77839,650.4355771326987,0.006621672529190319,5,3.0,3.0,same,False,
90,990519,77969,2052.127376650502,0.010244851302781749,4,4.0,4.0,same,False,
90,566273,77934,672.9393509072747,0.02283300988007955,1,4.0,4.0,same,False,
91,1577981,797037,639.1371136149113,0.024574186338689977,1,3.0,4.0,less major,False,
92,1564311,77217,1002.513825341163,0.011843574900236908,8,4.0,4.0,same,False,
93,77987,77989,100.01624868055328,0.008264160806108872,2,4.0,4.0,same,True,4.0
94,78405,78406,862.5876940921328,0.006728894850054512,7,3.0,3.0,same,False,
94,989448,77980,129.70890485965654,0.010634698100744062,2,4.0,4.0,same,False,
94,78388,78387,532.0356754959163,0.01825001255805351,1,3.0,4.0,less major,False,
95,77349,77346,578.4158365748791,0.019376927426938344,5,3.0,3.0,same,True,2.0
97,1009419,991211,898.5172786320489,0.011173125852541786,5,3.0,3.0,same,False,
97,77287,77429,4839.764252523322,0.014885217342804862,3,3.0,3.0,same,False,
98,1273797,77505,1101.1625947152456,0.015726028584757377,1,3.0,3.0,same,False,
102,1227165,77250,93.30230436575778,0.0320159515975858,1,3.0,3.0,same,False,
102,1357149,77006,212.95656834199784,0.019765387054187282,7,3.0,3.0,same,False,
102,1227600,1275000,502.8228316209681,0.028829478455309074,2,4.0,4.0,same,False,
