A,B,LANES,HERE_MISS,FCLASS
38152,38151,1,1,32
38151,38152,1,1,32
750237,38277,1,1,32
38277,750237,1,1,32
38227,38228,1,1,32
38228,38227,1,1,32
1719458,427194,1,1,32
427194,1719458,1,1,32
557124,556871,1,1,32
556871,557124,1,1,32
672552,672551,1,1,32
672551,672552,1,1,32
22963,128384,1,1,32
128384,22963,1,1,32
124507,124508,1,1,32
124508,124507,1,1,32
429080,145908,1,1,32
145908,429080,1,1,32
137168,137169,1,1,32
137169,137168,1,1,32
109746,550375,1,1,32
550375,109746,1,1,32
71525,71523,1,1,32
71523,71525,1,1,32
90788,90787,1,1,32
90787,90788,1,1,32
83243,83241,1,1,32
83241,83243,1,1,32
764795,764796,1,1,32
764796,764795,1,1,32
1537106,1537107,1,1,32
1537107,1537106,1,1,32
174944,174945,1,1,32
174945,174944,1,1,32
53094,53095,1,1,32
53095,53094,1,1,32
161618,161617,1,1,32
161617,161618,1,1,32
64815,64814,1,1,32
64814,64815,1,1,32
681369,681368,1,1,32
681368,681369,1,1,32
87608,87609,1,1,32
87609,87608,1,1,32
89394,89393,1,1,32
89393,89394,1,1,32
87364,556309,1,1,32
556309,87364,1,1,32
88900,556318,1,1,32
556318,88900,1,1,32
260584,883857,1,1,32
883857,260584,1,1,32
439215,439214,1,1,32
439214,439215,1,1,32
236755,236756,1,1,32
236756,236755,1,1,32
