A,B,FCLASS
1,55433,32
55433,1,32
2,873286,32
873286,2,32
3,995269,32
995269,3,32
4,65994,32
65994,4,32
4,1184335,32
1184335,4,32
5,55674,32
55674,5,32
5,66491,32
66491,5,32
6,1045230,32
1045230,6,32
7,55386,32
55386,7,32
7,998803,32
998803,7,32
7,1184321,32
1184321,7,32
8,55191,32
55191,8,32
8,55382,32
55382,8,32
9,55526,32
55526,9,32
9,994025,32
994025,9,32
9,995124,32
995124,9,32
10,54998,32
54998,10,32
11,54633,32
54633,11,32
11,54664,32
54664,11,32
12,55098,32
55098,12,32
12,55101,32
55101,12,32
12,55224,32
55224,12,32
13,1180477,32
1180477,13,32
13,1670535,32
1670535,13,32
14,54399,32
54399,14,32
14,995836,32
995836,14,32
15,992079,32
992079,15,32
16,64003,32
64003,16,32
16,64071,32
64071,16,32
16,872578,32
872578,16,32
16,996584,32
996584,16,32
17,54485,32
54485,17,32
17,54513,32
54513,17,32
17,54557,32
54557,17,32
18,54346,32
54346,18,32
18,1061930,32
1061930,18,32
19,54385,32
54385,19,32
19,639609,32
639609,19,32
19,994862,32
994862,19,32
19,1708665,32
1708665,19,32
20,53805,32
53805,20,32
20,53943,32
53943,20,32
20,54701,32
54701,20,32
20,994595,32
994595,20,32
21,52602,32
52602,21,32
21,53807,32
53807,21,32
21,927842,32
927842,21,32
22,25698,32
25698,22,32
22,52566,32
52566,22,32
22,53724,32
53724,22,32
23,53095,32
53095,23,32
23,812550,32
812550,23,32
24,790194,32
790194,24,32
24,994698,32
994698,24,32
24,1696744,32
1696744,24,32
25,52407,32
52407,25,32
25,551131,32
551131,25,32
25,993220,32
993220,25,32
26,52361,32
52361,26,32
26,52437,32
52437,26,32
26,994311,32
994311,26,32
27,614087,32
614087,27,32
27,614141,32
614141,27,32
27,760974,32
760974,27,32
28,52355,32
52355,28,32
28,52368,32
52368,28,32
29,35748,32
35748,29,32
29,47025,32
47025,29,32
29,47048,32
47048,29,32
29,1572902,32
1572902,29,32
30,35738,32
35738,30,32
30,35761,32
35761,30,32
30,734921,32
734921,30,32
30,846226,32
846226,30,32
30,993590,32
993590,30,32
31,425081,32
425081,31,32
31,639270,32
639270,31,32
31,734924,32
734924,31,32
31,927830,32
927830,31,32
32,36379,32
36379,32,32
32,36413,32
36413,32,32
32,36424,32
36424,32,32
32,571778,32
571778,32,32
33,36175,32
36175,33,32
33,36381,32
36381,33,32
33,425979,32
425979,33,32
33,991379,32
991379,33,32
33,993937,32
993937,33,32
34,36266,32
36266,34,32
34,36268,32
36268,34,32
34,599935,32
599935,34,32
34,986643,32
986643,34,32
35,36271,32
36271,35,32
35,36282,32
36282,35,32
35,36289,32
36289,35,32
36,36864,32
36864,36,32
36,36923,32
36923,36,32
36,599992,32
599992,36,32
36,1036208,32
1036208,36,32
37,36926,32
36926,37,32
37,37092,32
37092,37,32
37,1695675,32
1695675,37,32
38,25757,32
25757,38,32
38,37144,32
37144,38,32
38,1203348,32
1203348,38,32
39,37145,32
37145,39,32
39,37312,32
37312,39,32
40,36769,32
36769,40,32
40,37368,32
37368,40,32
41,36803,32
36803,41,32
41,37501,32
37501,41,32
42,37588,32
37588,42,32
42,477076,32
477076,42,32
42,639215,32
639215,42,32
43,37371,32
37371,43,32
43,37608,32
37608,43,32
43,599813,32
599813,43,32
43,1271377,32
1271377,43,32
44,37703,32
37703,44,32
44,37707,32
37707,44,32
44,37765,32
37765,44,32
45,37705,32
37705,45,32
45,37732,32
37732,45,32
45,37733,32
37733,45,32
45,562548,32
562548,45,32
45,1173948,32
1173948,45,32
46,37898,32
37898,46,32
46,54135,32
54135,46,32
47,600195,32
600195,47,32
47,1178451,32
1178451,47,32
48,39275,32
39275,48,32
48,39360,32
39360,48,32
49,37806,32
37806,49,32
49,1166455,32
1166455,49,32
50,39382,32
39382,50,32
50,39388,32
39388,50,32
50,1576285,32
1576285,50,32
51,63291,32
63291,51,32
51,161618,32
161618,51,32
52,63334,32
63334,52,32
52,63530,32
63530,52,32
53,63780,32
63780,53,32
53,63795,32
63795,53,32
53,63900,32
63900,53,32
53,563964,32
563964,53,32
54,63809,32
63809,54,32
54,64148,32
64148,54,32
54,64199,32
64199,54,32
54,64655,32
64655,54,32
54,589633,32
589633,54,32
55,582448,32
582448,55,32
55,1045554,32
1045554,55,32
55,1176338,32
1176338,55,32
56,64273,32
64273,56,32
56,65228,32
65228,56,32
56,996545,32
996545,56,32
57,64293,32
64293,57,32
57,64321,32
64321,57,32
57,1163074,32
1163074,57,32
58,66939,32
66939,58,32
59,65290,32
65290,59,32
59,65407,32
65407,59,32
60,66918,32
66918,60,32
60,991017,32
991017,60,32
61,65410,32
65410,61,32
61,65669,32
65669,61,32
62,64354,32
64354,62,32
62,1450425,32
1450425,62,32
63,66931,32
66931,63,32
63,66979,32
66979,63,32
64,872946,32
872946,64,32
65,66453,32
66453,65,32
65,1164342,32
1164342,65,32
66,66416,32
66416,66,32
67,66815,32
66815,67,32
67,1530775,32
1530775,67,32
68,66483,32
66483,68,32
68,66768,32
66768,68,32
68,993180,32
993180,68,32
69,66752,32
66752,69,32
69,616862,32
616862,69,32
70,476898,32
476898,70,32
71,68068,32
68068,71,32
71,73499,32
73499,71,32
71,73655,32
73655,71,32
72,66668,32
66668,72,32
72,986192,32
986192,72,32
72,1664998,32
1664998,72,32
73,819133,32
819133,73,32
74,73663,32
73663,74,32
75,543060,32
543060,75,32
76,68504,32
68504,76,32
76,74537,32
74537,76,32
77,993134,32
993134,77,32
78,750347,32
750347,78,32
78,996213,32
996213,78,32
79,71618,32
71618,79,32
79,1386919,32
1386919,79,32
80,76825,32
76825,80,32
81,71619,32
71619,81,32
81,1227171,32
1227171,81,32
82,76905,32
76905,82,32
82,543227,32
543227,82,32
82,989539,32
989539,82,32
83,77067,32
77067,83,32
83,77074,32
77074,83,32
83,77089,32
77089,83,32
84,77068,32
77068,84,32
84,77143,32
77143,84,32
84,77203,32
77203,84,32
85,77136,32
77136,85,32
86,77202,32
77202,86,32
86,586270,32
586270,86,32
87,77176,32
77176,87,32
87,77195,32
77195,87,32
88,77276,32
77276,88,32
88,77295,32
77295,88,32
89,77839,32
77839,89,32
89,77947,32
77947,89,32
90,77819,32
77819,90,32
90,77934,32
77934,90,32
90,77969,32
77969,90,32
91,797037,32
797037,91,32
92,77217,32
77217,92,32
92,77817,32
77817,92,32
93,77971,32
77971,93,32
93,77989,32
77989,93,32
93,77995,32
77995,93,32
94,77980,32
77980,94,32
94,78387,32
78387,94,32
94,78406,32
78406,94,32
95,77346,32
77346,95,32
95,623450,32
623450,95,32
96,77336,32
77336,96,32
97,77429,32
77429,97,32
97,991211,32
991211,97,32
97,1687626,32
1687626,97,32
98,77505,32
77505,98,32
99,581368,32
581368,99,32
99,1341566,32
1341566,99,32
100,77024,32
77024,100,32
100,77034,32
77034,100,32
100,1009415,32
1009415,100,32
101,77003,32
77003,101,32
101,77307,32
77307,101,32
101,816716,32
816716,101,32
102,77006,32
77006,102,32
102,77250,32
77250,102,32
102,1275000,32
1275000,102,32
103,74555,32
74555,103,32
103,74626,32
74626,103,32
103,1229380,32
1229380,103,32
104,1269154,32
1269154,104,32
104,1278109,32
1278109,104,32
105,74558,32
74558,105,32
105,1356029,32
1356029,105,32
106,74442,32
74442,106,32
106,761276,32
761276,106,32
107,74460,32
74460,107,32
107,74606,32
74606,107,32
107,997247,32
997247,107,32
108,74466,32
74466,108,32
108,74673,32
74673,108,32
108,74811,32
74811,108,32
108,634150,32
634150,108,32
109,74168,32
74168,109,32
110,73745,32
73745,110,32
110,1355879,32
1355879,110,32
111,73456,32
73456,111,32
111,73493,32
73493,111,32
112,55668,32
55668,112,32
112,66500,32
66500,112,32
112,760779,32
760779,112,32
113,55729,32
55729,113,32
114,55740,32
55740,114,32
114,66666,32
66666,114,32
115,55565,32
55565,115,32
115,55631,32
55631,115,32
115,55690,32
55690,115,32
116,761386,32
761386,116,32
116,993186,32
993186,116,32
116,1168861,32
1168861,116,32
117,66819,32
66819,117,32
117,760910,32
760910,117,32
118,68073,32
68073,118,32
118,1386921,32
1386921,118,32
119,989984,32
989984,119,32
120,68383,32
68383,120,32
121,68408,32
68408,121,32
121,68458,32
68458,121,32
122,68246,32
68246,122,32
122,68453,32
68453,122,32
122,819139,32
819139,122,32
123,1046209,32
1046209,123,32
124,68364,32
68364,124,32
124,425466,32
425466,124,32
124,544358,32
544358,124,32
125,68317,32
68317,125,32
125,68318,32
68318,125,32
125,68331,32
68331,125,32
125,71370,32
71370,125,32
126,71374,32
71374,126,32
126,1018288,32
1018288,126,32
126,1231049,32
1231049,126,32
126,1443143,32
1443143,126,32
127,71371,32
71371,127,32
127,759830,32
759830,127,32
127,1227745,32
1227745,127,32
128,71382,32
71382,128,32
128,804101,32
804101,128,32
129,582318,32
582318,129,32
130,71649,32
71649,130,32
130,1357659,32
1357659,130,32
131,572536,32
572536,131,32
131,1228718,32
1228718,131,32
131,1447096,32
1447096,131,32
132,71781,32
71781,132,32
132,71939,32
71939,132,32
133,71491,32
71491,133,32
133,71525,32
71525,133,32
133,995849,32
995849,133,32
133,1232012,32
1232012,133,32
134,71510,32
71510,134,32
134,71523,32
71523,134,32
134,582203,32
582203,134,32
134,682785,32
682785,134,32
135,71450,32
71450,135,32
135,582169,32
582169,135,32
136,71363,32
71363,136,32
136,947307,32
947307,136,32
136,1220091,32
1220091,136,32
137,71435,32
71435,137,32
137,573050,32
573050,137,32
138,71467,32
71467,138,32
138,71725,32
71725,138,32
138,995000,32
995000,138,32
139,71481,32
71481,139,32
139,71483,32
71483,139,32
139,71530,32
71530,139,32
139,71727,32
71727,139,32
140,71748,32
71748,140,32
140,760080,32
760080,140,32
140,794362,32
794362,140,32
141,71770,32
71770,141,32
141,778456,32
778456,141,32
141,986358,32
986358,141,32
142,71252,32
71252,142,32
142,71272,32
71272,142,32
142,988171,32
988171,142,32
142,1044827,32
1044827,142,32
143,71823,32
71823,143,32
143,763174,32
763174,143,32
144,817015,32
817015,144,32
144,994243,32
994243,144,32
144,1201220,32
1201220,144,32
145,682205,32
682205,145,32
145,760952,32
760952,145,32
145,873532,32
873532,145,32
145,995873,32
995873,145,32
146,71102,32
71102,146,32
146,71119,32
71119,146,32
146,1221406,32
1221406,146,32
147,70566,32
70566,147,32
147,70579,32
70579,147,32
147,70598,32
70598,147,32
147,70638,32
70638,147,32
148,70597,32
70597,148,32
148,1229565,32
1229565,148,32
149,71035,32
71035,149,32
149,71039,32
71039,149,32
149,1226863,32
1226863,149,32
150,71043,32
71043,150,32
150,71093,32
71093,150,32
151,71054,32
71054,151,32
151,760302,32
760302,151,32
151,760810,32
760810,151,32
151,763184,32
763184,151,32
152,70999,32
70999,152,32
152,71005,32
71005,152,32
153,70803,32
70803,153,32
153,996015,32
996015,153,32
154,70953,32
70953,154,32
154,986297,32
986297,154,32
154,1666369,32
1666369,154,32
155,70885,32
70885,155,32
155,70975,32
70975,155,32
156,70862,32
70862,156,32
156,71191,32
71191,156,32
156,873202,32
873202,156,32
157,553588,32
553588,157,32
157,759655,32
759655,157,32
158,71242,32
71242,158,32
158,72372,32
72372,158,32
159,72422,32
72422,159,32
159,72473,32
72473,159,32
160,763178,32
763178,160,32
160,1272932,32
1272932,160,32
161,73048,32
73048,161,32
162,72944,32
72944,162,32
162,72959,32
72959,162,32
163,998806,32
998806,163,32
164,71850,32
71850,164,32
164,872694,32
872694,164,32
165,71998,32
71998,165,32
165,986322,32
986322,165,32
166,71965,32
71965,166,32
167,72071,32
72071,167,32
167,1340463,32
1340463,167,32
168,77779,32
77779,168,32
168,77791,32
77791,168,32
169,78413,32
78413,169,32
169,78557,32
78557,169,32
170,476891,32
476891,170,32
171,77512,32
77512,171,32
172,77537,32
77537,172,32
172,79216,32
79216,172,32
172,1277330,32
1277330,172,32
173,79232,32
79232,173,32
173,541407,32
541407,173,32
173,1356309,32
1356309,173,32
174,616669,32
616669,174,32
175,79344,32
79344,175,32
175,79381,32
79381,175,32
175,762675,32
762675,175,32
176,79406,32
79406,176,32
176,995852,32
995852,176,32
176,1279930,32
1279930,176,32
177,79645,32
79645,177,32
177,986403,32
986403,177,32
177,1231835,32
1231835,177,32
178,79166,32
79166,178,32
178,79169,32
79169,178,32
178,764559,32
764559,178,32
178,1230742,32
1230742,178,32
179,79521,32
79521,179,32
179,566611,32
566611,179,32
180,545589,32
545589,180,32
180,764585,32
764585,180,32
181,76258,32
76258,181,32
181,79142,32
79142,181,32
181,760840,32
760840,181,32
182,79139,32
79139,182,32
182,994957,32
994957,182,32
182,995430,32
995430,182,32
183,78937,32
78937,183,32
183,78989,32
78989,183,32
184,74847,32
74847,184,32
184,76170,32
76170,184,32
185,74858,32
74858,185,32
185,74891,32
74891,185,32
185,77453,32
77453,185,32
185,77491,32
77491,185,32
186,74651,32
74651,186,32
186,77407,32
77407,186,32
186,991680,32
991680,186,32
186,1356194,32
1356194,186,32
187,74761,32
74761,187,32
187,75928,32
75928,187,32
187,76088,32
76088,187,32
188,76231,32
76231,188,32
188,689774,32
689774,188,32
188,994327,32
994327,188,32
189,996639,32
996639,189,32
189,1273867,32
1273867,189,32
190,79620,32
79620,190,32
190,616489,32
616489,190,32
191,23782,32
23782,191,32
192,80733,32
80733,192,32
193,995947,32
995947,193,32
194,79859,32
79859,194,32
195,22085,32
22085,195,32
195,79824,32
79824,195,32
196,80755,32
80755,196,32
196,80761,32
80761,196,32
196,163158,32
163158,196,32
197,80753,32
80753,197,32
198,80830,32
80830,198,32
198,993995,32
993995,198,32
199,90130,32
90130,199,32
199,90160,32
90160,199,32
199,90204,32
90204,199,32
200,90274,32
90274,200,32
200,996196,32
996196,200,32
201,90273,32
90273,201,32
202,24272,32
24272,202,32
202,90320,32
90320,202,32
202,90779,32
90779,202,32
202,1449693,32
1449693,202,32
203,90534,32
90534,203,32
203,90585,32
90585,203,32
203,873058,32
873058,203,32
203,1323912,32
1323912,203,32
204,24531,32
24531,204,32
204,89739,32
89739,204,32
204,89788,32
89788,204,32
204,992449,32
992449,204,32
205,89987,32
89987,205,32
205,90054,32
90054,205,32
205,90070,32
90070,205,32
205,992496,32
992496,205,32
206,21798,32
21798,206,32
206,90089,32
90089,206,32
206,91225,32
91225,206,32
206,1240252,32
1240252,206,32
207,91433,32
91433,207,32
207,784534,32
784534,207,32
207,873060,32
873060,207,32
208,759822,32
759822,208,32
208,990710,32
990710,208,32
208,992417,32
992417,208,32
209,90086,32
90086,209,32
209,90745,32
90745,209,32
209,440884,32
440884,209,32
210,90948,32
90948,210,32
210,91025,32
91025,210,32
211,90788,32
90788,211,32
211,90801,32
90801,211,32
212,90825,32
90825,212,32
213,129499,32
129499,213,32
213,689710,32
689710,213,32
214,129572,32
129572,214,32
215,129757,32
129757,215,32
216,993505,32
993505,216,32
217,130329,32
130329,217,32
218,114356,32
114356,218,32
219,130324,32
130324,219,32
219,599386,32
599386,219,32
219,872958,32
872958,219,32
219,990828,32
990828,219,32
220,873385,32
873385,220,32
220,991272,32
991272,220,32
220,992255,32
992255,220,32
221,599357,32
599357,221,32
221,987103,32
987103,221,32
221,990904,32
990904,221,32
222,599394,32
599394,222,32
222,991529,32
991529,222,32
223,991899,32
991899,223,32
223,992353,32
992353,223,32
223,1451926,32
1451926,223,32
224,130140,32
130140,224,32
224,130207,32
130207,224,32
224,990413,32
990413,224,32
225,991275,32
991275,225,32
225,991636,32
991636,225,32
226,21870,32
21870,226,32
226,131328,32
131328,226,32
226,991940,32
991940,226,32
227,131442,32
131442,227,32
227,132081,32
132081,227,32
228,134376,32
134376,228,32
228,162037,32
162037,228,32
229,134352,32
134352,229,32
229,134372,32
134372,229,32
230,134547,32
134547,230,32
230,991118,32
991118,230,32
231,441206,32
441206,231,32
231,992756,32
992756,231,32
232,135152,32
135152,232,32
232,569716,32
569716,232,32
232,998481,32
998481,232,32
233,604979,32
604979,233,32
233,1086309,32
1086309,233,32
234,133154,32
133154,234,32
234,133162,32
133162,234,32
234,133462,32
133462,234,32
234,134594,32
134594,234,32
235,133284,32
133284,235,32
235,133312,32
133312,235,32
235,604775,32
604775,235,32
236,133011,32
133011,236,32
236,604776,32
604776,236,32
236,955546,32
955546,236,32
237,131131,32
131131,237,32
237,131291,32
131291,237,32
237,133001,32
133001,237,32
238,131361,32
131361,238,32
238,161568,32
161568,238,32
238,1451206,32
1451206,238,32
239,134402,32
134402,239,32
239,1507175,32
1507175,239,32
240,133273,32
133273,240,32
240,133281,32
133281,240,32
240,134032,32
134032,240,32
240,134119,32
134119,240,32
241,555946,32
555946,241,32
241,991714,32
991714,241,32
242,135067,32
135067,242,32
242,990783,32
990783,242,32
243,134157,32
134157,243,32
243,955769,32
955769,243,32
244,599497,32
599497,244,32
245,137095,32
137095,245,32
246,134033,32
134033,246,32
246,547081,32
547081,246,32
246,599493,32
599493,246,32
247,132964,32
132964,247,32
247,604760,32
604760,247,32
248,132871,32
132871,248,32
248,132887,32
132887,248,32
248,133013,32
133013,248,32
249,132941,32
132941,249,32
249,990947,32
990947,249,32
250,23838,32
23838,250,32
250,130772,32
130772,250,32
251,569714,32
569714,251,32
251,599378,32
599378,251,32
251,991187,32
991187,251,32
252,131253,32
131253,252,32
252,533971,32
533971,252,32
253,664437,32
664437,253,32
253,991909,32
991909,253,32
254,131665,32
131665,254,32
254,598865,32
598865,254,32
254,754449,32
754449,254,32
254,996188,32
996188,254,32
255,131755,32
131755,255,32
255,131781,32
131781,255,32
256,131967,32
131967,256,32
256,989435,32
989435,256,32
257,132256,32
132256,257,32
257,132290,32
132290,257,32
257,480469,32
480469,257,32
258,589562,32
589562,258,32
258,617188,32
617188,258,32
258,974836,32
974836,258,32
259,159420,32
159420,259,32
260,134508,32
134508,260,32
260,833354,32
833354,260,32
261,131676,32
131676,261,32
261,993120,32
993120,261,32
262,130038,32
130038,262,32
263,130021,32
130021,263,32
263,564299,32
564299,263,32
264,129928,32
129928,264,32
264,130020,32
130020,264,32
265,91026,32
91026,265,32
265,91666,32
91666,265,32
265,131470,32
131470,265,32
265,162210,32
162210,265,32
266,131501,32
131501,266,32
266,131631,32
